explained,unexplained,overall,explained_se,unexplained_se,overall_se,group_a,group_b,outcome,n_obs
2.6935925469087505,-0.45518270056664334,2.2384098463414057,,,,ES,IT,fine_log1p,767
3.1047368907030553,-1.9899184240956198,1.1148184666029506,,,,ES,RO,fine_log1p,652
4.304937437317077,-1.9313273358115113,2.3736101015148057,,,,ES,IS,fine_log1p,635
1.987129205646252,-0.5944791910814695,1.3926500145603056,,,,ES,GR,fine_log1p,618
1.0777317725270326,1.345932808604199,2.4236645811292448,,,,ES,NO,fine_log1p,625
