term,delta_aic,lr_stat,pvalue,group_field
q21_breach_types_status__NOT_MENTIONED,-3.8604961580149393,5.860496158014939,0.015484428495288487,dpa_name_canonical
q25_sensitive_data_coverage__NOT_MENTIONED,-3.762048972145749,5.762048972145749,0.01637596426794629,dpa_name_canonical
ORGANIZATION_SIZE_TIER_NOT_APPLICABLE,2.394418625777689,33.60558137422231,0.014084126719664207,dpa_name_canonical
q46_vuln_CHILDREN,22.17947448007726,33.82052551992274,0.20684485122371618,dpa_name_canonical
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,34.46400974939388,47.53599025060612,0.2238016835688189,dpa_name_canonical
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE,38.394590950669226,25.605409049330774,0.7807905428029063,dpa_name_canonical
q47_remedial_POLICY_CHANGES,42.44478476693803,39.55521523306197,0.5348790721686671,dpa_name_canonical
n_corrective_measures,61.037547017600446,44.962452982399554,0.7758884340769738,dpa_name_canonical
n_principles_violated,64.4857330805171,51.51426691948291,0.7135124578793869,dpa_name_canonical
