source,target,edge_type,decision_date,fine_amount
Swedish Authority for Privacy Protection,Sweden_29,decided_by,,0.0
Swedish Authority for Privacy Protection,Sweden_32,decided_by,,0.0
Swedish Authority for Privacy Protection,Sweden_50,decided_by,,0.0
Integrity Protection Authority,Sweden_23,decided_by,2022-01-26 00:00:00+00:00,300000.0
Integrity Protection Authority,Sweden_27,decided_by,2021-01-22 00:00:00+00:00,0.0
Integrity Protection Authority,Sweden_43,decided_by,,0.0
The Swedish Privacy Protection Agency (IMY),Sweden_33,decided_by,2023-06-30 00:00:00+00:00,0.0
Swedish Authority for Privacy Protection (IMY),Sweden_38,decided_by,2022-10-10 00:00:00+00:00,0.0
Swedish Authority for Privacy Protection (IMY),Sweden_40,decided_by,,0.0
Swedish Authority for Privacy Protection (IMY),Sweden_41,decided_by,2022-03-29 00:00:00+00:00,0.0
Swedish Authority for Privacy Protection (IMY),Sweden_44,decided_by,,0.0
Swedish Authority for Privacy Protection (IMY),Sweden_45,decided_by,,0.0
Swedish Authority for Privacy Protection (IMY),Sweden_47,decided_by,2022-03-18 00:00:00+00:00,0.0
Swedish Authority for Privacy Protection (IMY),Sweden_53,decided_by,,0.0
Spanish Agency for Data Protection,Spain_1,decided_by,,0.0
Spanish Agency for Data Protection,Spain_3,decided_by,,0.0
Spanish Agency for Data Protection,Spain_5,decided_by,,0.0
Spanish Agency for Data Protection,Spain_8,decided_by,,0.0
Spanish Agency for Data Protection,Spain_9,decided_by,,0.0
Spanish Agency for Data Protection,Spain_10,decided_by,,0.0
Spanish Agency for Data Protection,Spain_12,decided_by,,0.0
Spanish Agency for Data Protection,Spain_11,decided_by,,0.0
Spanish Agency for Data Protection,Spain_15,decided_by,,0.0
Spanish Agency for Data Protection,Spain_13,decided_by,,0.0
Spanish Agency for Data Protection,Spain_16,decided_by,,0.0
Spanish Agency for Data Protection,Spain_14,decided_by,,0.0
Spanish Agency for Data Protection,Spain_17,decided_by,,0.0
Spanish Agency for Data Protection,Spain_18,decided_by,,0.0
Spanish Agency for Data Protection,Spain_19,decided_by,,0.0
Spanish Agency for Data Protection,Spain_20,decided_by,,0.0
Spanish Agency for Data Protection,Spain_25,decided_by,,0.0
Spanish Agency for Data Protection,Spain_28,decided_by,,0.0
Spanish Agency for Data Protection,Spain_29,decided_by,,0.0
Spanish Agency for Data Protection,Spain_31,decided_by,,0.0
Spanish Agency for Data Protection,Spain_33,decided_by,,0.0
Spanish Agency for Data Protection,Spain_36,decided_by,,24000.0
Spanish Agency for Data Protection,Spain_42,decided_by,,12000.0
Spanish Agency for Data Protection,Spain_45,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_47,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_50,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_55,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_57,decided_by,,200000.0
Spanish Agency for Data Protection,Spain_58,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_61,decided_by,,10000.0
Spanish Agency for Data Protection,Spain_62,decided_by,,70000.0
Spanish Agency for Data Protection,Spain_66,decided_by,,0.0
Spanish Agency for Data Protection,Spain_71,decided_by,,0.0
Spanish Agency for Data Protection,Spain_70,decided_by,,0.0
Spanish Agency for Data Protection,Spain_73,decided_by,,0.0
Spanish Agency for Data Protection,Spain_81,decided_by,,0.0
Spanish Agency for Data Protection,Spain_76,decided_by,,16000.0
Spanish Agency for Data Protection,Spain_85,decided_by,,1000.0
Spanish Agency for Data Protection,Spain_103,decided_by,,24000.0
Spanish Agency for Data Protection,Spain_105,decided_by,,0.0
Spanish Agency for Data Protection,Spain_106,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_104,decided_by,,56000.0
Spanish Agency for Data Protection,Spain_116,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_119,decided_by,,0.0
Spanish Agency for Data Protection,Spain_113,decided_by,,70000.0
Spanish Agency for Data Protection,Spain_118,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_123,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_133,decided_by,,0.0
Spanish Agency for Data Protection,Spain_132,decided_by,,20000.0
Spanish Agency for Data Protection,Spain_144,decided_by,,0.0
Spanish Agency for Data Protection,Spain_146,decided_by,,10000.0
Spanish Agency for Data Protection,Spain_147,decided_by,,10000.0
Spanish Agency for Data Protection,Spain_179,decided_by,,20000.0
Spanish Agency for Data Protection,Spain_241,decided_by,,4000.0
Spanish Agency for Data Protection,Spain_243,decided_by,,900.0
Spanish Agency for Data Protection,Spain_242,decided_by,,240000.0
Spanish Agency for Data Protection,Spain_247,decided_by,,6000.0
Spanish Agency for Data Protection,Spain_246,decided_by,,0.0
Spanish Agency for Data Protection,Spain_252,decided_by,,0.0
Spanish Agency for Data Protection,Spain_251,decided_by,,75000.0
Spanish Agency for Data Protection,Spain_255,decided_by,,75000.0
Spanish Agency for Data Protection,Spain_259,decided_by,,4000.0
Spanish Agency for Data Protection,Spain_258,decided_by,,0.0
Spanish Agency for Data Protection,Spain_260,decided_by,,0.0
Spanish Agency for Data Protection,Spain_256,decided_by,,24000.0
Spanish Agency for Data Protection,Spain_263,decided_by,,1000.0
Spanish Agency for Data Protection,Spain_264,decided_by,,100000.0
Spanish Agency for Data Protection,Spain_269,decided_by,,0.0
