source_id,target_id,distance,weight,match_rank,match_type,stratum_key,source_country,target_country
Ireland_5,United Kingdom_63,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_5,Spain_572,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_1,Ireland_34,0.19444444444444445,1.0,1,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_3,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_3,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_3,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_11,United Kingdom_10,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_11,United Kingdom_7,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_11,Spain_447,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_10,Ireland_17,0.048611111111111105,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_10,Ireland_24,0.08333333333333333,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_10,Ireland_29,0.1875,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_12,United Kingdom_10,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_12,United Kingdom_7,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_12,Spain_447,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_18,United Kingdom_36,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_18,United Kingdom_63,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
