source_country,n_matches
DE,82
ES,2623
FI,104
FR,76
GB,54
GR,207
HU,79
IE,16
IS,271
IT,1123
LT,10
LU,20
LV,4
MISSING,910
NL,24
NO,134
PL,153
RO,519
SE,101
SI,232
