class,feature,coefficient
0,q53_powers_NONE,1.9265099045271081
0,q53_powers_ADMINISTRATIVE_FINE,-0.9481265050419441
0,n_corrective_measures,-0.7516956915733554
0,n_principles_violated,-0.49080190171485455
0,q53_powers_REPRIMAND,-0.47699327649941636
0,adm_issues_pc1,0.436462289180503
0,country_group_UNKNOWN,0.43393617496656645
0,q47_remedial_any,-0.42357626605562004
0,rights_violated_pc3,-0.37815106092339973
0,q53_powers_WARNING,-0.34715911298692104
0,rights_violated_pc1,-0.34680831766397213
0,q53_powers_COMPLY_WITH_DATA_SUBJECT_REQUESTS,-0.33337888953958916
0,q46_vuln_any,0.3270712780527623
0,isic_section_UNKNOWN,0.27856534906643055
0,q53_powers_LIMITATION_PROHIBITION_OF_PROCESSING,-0.22484642600438629
0,country_group_NON_EEA,0.22262520697916022
0,q10_org_class_any,0.18990309119624074
0,access_issues_pc2,0.18765284369833127
0,q47_remedial_count,-0.1657881262364139
0,q53_powers_BRING_PROCESSING_INTO_COMPLIANCE,-0.1519006917787897
0,rights_violated_pc2,0.14412162277215027
0,dpa_case_count,0.13213944929588714
0,access_issues_pc3,0.13184817170882854
0,adm_issues_pc2,-0.12517222422802265
0,q10_org_class_count,-0.12356603018925458
0,q21_breach_types_count,-0.11459269078467965
0,q46_vuln_count,0.11199785583108347
0,breach_case,-0.09074383688529229
0,isic_section_P,0.08382365546900551
0,art33_timely_flag,0.08278680260040593
0,art33_required_flag,-0.08004979236759127
0,isic_section_O,0.07686859847921569
0,country_group_EU,-0.0607651166071502
0,isic_section_N,0.058794493183855184
0,rights_discussed_pc3,0.05773174865655068
0,q15_case_initiation_any,-0.0573467437860741
0,isic_section_R,0.05551916851603438
0,subjects_notified_flag,-0.05369874456663296
0,n_principles_discussed,0.0528459596964482
0,art34_required_flag,-0.04909747358825851
2,q53_powers_ADMINISTRATIVE_FINE,-2.96379296489476
2,q53_powers_REPRIMAND,1.2444165670911365
2,q53_powers_COMPLY_WITH_DATA_SUBJECT_REQUESTS,1.0429596861518513
2,q53_powers_BRING_PROCESSING_INTO_COMPLIANCE,1.0068358141302274
2,q53_powers_WARNING,0.9364292312336956
2,q53_powers_NONE,-0.7813544126008095
2,q53_powers_LIMITATION_PROHIBITION_OF_PROCESSING,0.6702077663985841
2,q53_powers_RECTIFICATION_ERASURE_RESTRICTION,0.42957483671188385
2,n_corrective_measures,0.367474999597747
2,q10_org_class_any,0.20000569980142163
2,q21_breach_types_any,0.19258255730642268
2,adm_issues_pc1,-0.1766126435033846
2,q53_powers_COMMUNICATE_BREACH_TO_SUBJECTS,0.14088067139922905
2,dpa_severity_shrinkage,-0.13939224796577737
2,country_group_UNKNOWN,-0.13873053462705856
2,q47_remedial_any,0.1358870636939495
2,rights_violated_pc3,0.11886551533322821
2,rights_discussed_pc1,0.10914957408933242
2,isic_section_D,-0.09893214607463091
2,q15_case_initiation_any,0.09415869322195038
2,rights_violated_pc1,0.0911366106043695
2,q28_mitigations_any,0.08199385949957762
2,country_group_EU,-0.07711126340090324
2,dpa_case_count,-0.0717971026104147
2,isic_section_O,0.0700149022478555
2,q15_case_initiation_count,0.06959593884669481
2,rights_discussed_pc3,-0.06881619827408726
2,isic_section_K,-0.06268439153989006
2,art33_submitted_flag,-0.05520021366920357
2,isic_section_Q,0.054821813011738565
2,art34_required_flag,-0.05262592127865304
2,access_issues_pc1,0.052461144443871115
2,isic_section_N,-0.052208421158117795
2,isic_section_C,-0.051168684382831064
2,rights_discussed_pc2,0.047542085564898896
2,isic_section_J,0.043234370646007506
2,isic_section_S,0.04205745365912177
2,country_group_NON_EEA,-0.040976700669475605
2,adm_issues_pc2,0.03970803625317125
2,n_principles_violated,0.03625317509382224
3,q53_powers_REPRIMAND,-1.9027891368807013
3,q53_powers_COMPLY_WITH_DATA_SUBJECT_REQUESTS,-1.860833559954692
3,q53_powers_BRING_PROCESSING_INTO_COMPLIANCE,-1.6680423998177445
3,q53_powers_ADMINISTRATIVE_FINE,1.6512615892282736
