feature,coef,std_err,p_value,conf_low,conf_high
breach_case,-0.008907301009891698,0.06993981459744698,0.8986581191726428,-0.14598681870629654,0.12817221668651313
n_principles_discussed,-0.567635456456605,0.07952844650477942,9.503345753200842e-13,-0.7235083473523929,-0.411762565560817
n_principles_violated,0.5882097352705343,0.08690939097926331,1.3050234254522328e-11,0.417870459032868,0.7585490115082006
n_corrective_measures,2.3167749878162036,0.09550177262834525,5.3168990499538964e-130,2.1295949530049136,2.5039550226274936
turnover_log1p,0.20923097687932513,0.06136335455961628,0.0006503302646803623,0.08896101197191551,0.3295009417867347
decision_year_centered,0.021454664272894934,0.05003092502136044,0.6680483604173766,-0.07660414688219536,0.11951347542798524
art33_required_flag,0.22039270293678115,0.35362890230977534,0.5331323456332862,-0.47270720948281164,0.9134926153563739
art33_submitted_flag,0.2145953881727889,0.4327801661944191,0.6199980558957061,-0.6336381507915316,1.0628289271371094
art33_timely_flag,-0.30868270201854314,0.3140661833464309,0.3256769533287751,-0.9242411101395009,0.3068757061024147
art34_required_flag,-0.24115704741408514,0.3745194984641547,0.5196334554415771,-0.9752017759118325,0.4928876810836622
subjects_notified_flag,0.31687070860360844,0.39837140363457146,0.42637196420901835,-0.4639228949908204,1.0976643121980372
q15_case_initiation_BREACH_NOTIFICATION,0.7826979381929872,0.3408003670985668,0.021638949091751236,0.11474149276176704,1.4506543836242072
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,-0.1404214268666297,0.15933452758794175,0.37815577954434676,-0.45271136243269916,0.1718685086994398
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,0.5130647832423626,0.4444125536722532,0.24830400674181807,-0.35796781623272733,1.3840973827174525
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,-0.062306572121201054,0.17106916761404733,0.7156947813624192,-0.39759597950997966,0.27298283526757755
q25_sensitive_data_ARTICLE_10_CRIMINAL,-1.9146364270621021,0.5958830246589885,0.0013130697070212409,-3.0825456943925125,-0.7467271597316918
q28_mitigations_IMMEDIATE_CONTAINMENT,-0.04819563378595111,0.2760919250233217,0.861422457210939,-0.5893258632539946,0.49293459568209236
q28_mitigations_SECURITY_IMPROVEMENTS,-0.4607778210007458,0.3098483529647129,0.13698641124745456,-1.0680694334806375,0.146513791479146
q28_mitigations_COOPERATION_WITH_DPA,0.04138315954094513,0.3042694098079587,0.8918147341136589,-0.5549739252799122,0.6377402443618025
q41_aggrav_PREVIOUS_INFRINGEMENTS,0.5800604567112241,0.23363977496344007,0.0130386168684136,0.1221349124268385,1.0379860009956097
q41_aggrav_INTENT_NEGLIGENCE,1.2746912889224409,0.1724531525612984,1.4515742724388552e-13,0.9366893208819047,1.612693256962977
q42_mitig_COOPERATION_WITH_AUTHORITY,0.7983500758390318,0.156819803322349,3.564142244441289e-07,0.4909889092645731,1.1057112424134905
q46_vuln_CHILDREN,0.08483170187575989,0.20202368125279047,0.6745514268536612,-0.31112743740390914,0.4807908411554289
q46_vuln_EMPLOYEES,0.3672097113881893,0.16247459674720602,0.023814710880338565,0.04876535336099691,0.6856540694153817
q46_vuln_FINANCIALLY_VULNERABLE,0.26201207978049296,0.33301643850989476,0.4314081907939121,-0.39068814595869833,0.9147123055196842
q21_breach_types_count,0.2031774462056522,0.07956933192869062,0.010665722054965845,0.04722442135150559,0.3591304710597988
q25_sensitive_data_count,0.34006443392022734,0.11559967187788259,0.0032637150016944557,0.11349324041492975,0.5666356274255249
