feature,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],target
const,-24.64171818045375,131010.64312660463,-0.00018808943756302881,0.9998499263426033,-256800.7838377555,256751.50040139462,power_fine_flag
breach_case,-0.03758041740419954,0.10136909359850205,-0.370728553152959,0.7108397211005439,-0.2362601900027333,0.16109935519433422,power_fine_flag
n_principles_discussed,-0.5881421441261994,0.11397396240693088,-5.160320231969349,2.465277861631332e-07,-0.811527005619106,-0.36475728263329277,power_fine_flag
n_principles_violated,0.45262322193617494,0.12113388467714332,3.7365533446115933,0.00018655988498936498,0.2152051706615457,0.6900412732108041,power_fine_flag
n_corrective_measures,0.5598519534438912,0.08577088164908953,6.527296241799027,6.696751556674971e-11,0.39174411448942825,0.7279597923983541,power_fine_flag
turnover_log1p,0.9092288406164816,0.2153066111236267,4.222949011511831,2.411263848724456e-05,0.48723563718080226,1.331222044052161,power_fine_flag
decision_year_centered,-0.028284000208065804,0.07101106451416904,-0.3983041291040246,0.6904060171564761,-0.16746312915968742,0.1108951287435558,power_fine_flag
art33_required_flag,0.01895988015511252,0.5159895926767943,0.03674469490121792,0.9706885713099449,-0.9923611378888968,1.0302808981991218,power_fine_flag
art33_submitted_flag,0.816938370992673,0.7198753002043723,1.1348331728574999,0.2564452242052623,-0.5939912907678562,2.227868032753202,power_fine_flag
art33_timely_flag,-0.08768484749144337,0.5317625774122257,-0.16489473162657237,0.8690268391908988,-1.1299203475455981,0.9545506525627114,power_fine_flag
art34_required_flag,-0.6478450151678954,0.6091516413450978,-1.063520101066061,0.28754615443951625,-1.8417602933277473,0.5460702629919565,power_fine_flag
subjects_notified_flag,0.5513817434618276,0.6754450494715966,0.8163236134355797,0.4143150723438198,-0.7724662270383769,1.875229713962032,power_fine_flag
q15_case_initiation_BREACH_NOTIFICATION,0.7107715436056627,0.5827217675532305,1.2197442813747903,0.22256182944921843,-0.43134213380619,1.8528852210175155,power_fine_flag
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,-0.3647182856962321,0.21071199256659767,-1.7308852773577146,0.08347222800799212,-0.7777062022374351,0.048269630844970934,power_fine_flag
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,0.4442667890298331,0.63700607201519,0.6974294414877087,0.48553408186707603,-0.8042421700532674,1.6927757481129335,power_fine_flag
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,-0.22890074339295766,0.24104092124109164,-0.9496343700247011,0.3422980680954,-0.701332267825853,0.24353078103993767,power_fine_flag
q25_sensitive_data_ARTICLE_10_CRIMINAL,-2.52100309321283,0.8723430757731668,-2.889921595329267,0.0038533792031758946,-4.230764103891132,-0.8112420825345275,power_fine_flag
q28_mitigations_IMMEDIATE_CONTAINMENT,-0.033859788116009676,0.39374338326416475,-0.08599455776325503,0.9314707434768716,-0.8055826384647237,0.7378630622327044,power_fine_flag
q28_mitigations_SECURITY_IMPROVEMENTS,-0.6429613474932702,0.47771723631004914,-1.3459035986634862,0.17833360811698773,-1.5792699254549767,0.29334723046843636,power_fine_flag
q28_mitigations_COOPERATION_WITH_DPA,0.18612900860042547,0.4722755070849573,0.39411107670875434,0.6934990334497697,-0.739513976066482,1.111771993267333,power_fine_flag
q41_aggrav_PREVIOUS_INFRINGEMENTS,1.3718299280454895,0.5216942283706018,2.6295670019775788,0.008549368286881336,0.34932802949669606,2.394331826594283,power_fine_flag
q41_aggrav_INTENT_NEGLIGENCE,1.3975350651085898,0.2663666601394238,5.246659114083875,1.5488208931179156e-07,0.8754660045530984,1.9196041256640812,power_fine_flag
q42_mitig_COOPERATION_WITH_AUTHORITY,0.7718509380189214,0.22030817162338812,3.503505713525612,0.0004591768049011838,0.34005485613721154,1.203647019900631,power_fine_flag
q46_vuln_CHILDREN,-0.18878615973838067,0.2590575279337766,-0.7287422266556965,0.46615935748172677,-0.6965295844125619,0.31895726493580057,power_fine_flag
q46_vuln_EMPLOYEES,0.5857514274991461,0.20952917021990672,2.795560288261456,0.005180983751286662,0.17508180015756653,0.9964210548407257,power_fine_flag
q46_vuln_FINANCIALLY_VULNERABLE,0.6154454979919477,0.5740688875804932,1.0720760370516558,0.2836858809769407,-0.5097088463107922,1.7405998422946876,power_fine_flag
q21_breach_types_count,0.3348845468783436,0.160419917189511,2.0875496805220886,0.03683847514142322,0.020467286784004113,0.6493018069726831,power_fine_flag
q25_sensitive_data_count,0.2358284522184371,0.17795784749428004,1.3251927663713574,0.18510722395730128,-0.11296251963662327,0.5846194240734974,power_fine_flag
q28_mitigations_count,-0.34379461910599307,0.2232551221562448,-1.5399181697850985,0.12358030121056451,-0.7813666178963231,0.09377737968433697,power_fine_flag
q41_aggrav_count,1.2574112382323246,0.21471161178462236,5.856279629131731,4.733509675078152e-09,0.8365842120719189,1.6782382643927303,power_fine_flag
q42_mitig_count,0.09513928671044296,0.14866964004437677,0.6399375600966317,0.5222131939095174,-0.19624785337106931,0.38652642679195526,power_fine_flag
q46_vuln_count,-0.08704573318533486,0.13492147349026032,-0.6451584831796141,0.5188244876216901,-0.35148696196732077,0.17739549559665102,power_fine_flag
q47_remedial_count,-0.046033311701258656,0.11065652908829052,-0.4160017676365906,0.6774087097519736,-0.26291612336851694,0.17084949996599963,power_fine_flag
country_group_EU,1.743381634650012,0.30240293323688533,5.765094987634745,8.161186315063989e-09,1.1506827766864463,2.3360804926135774,power_fine_flag
country_group_EU_INSTITUTION,-21.514116555142888,131010.69777339199,-0.00016421648705631397,0.9998689742009373,-256797.7633418653,256754.73510875503,power_fine_flag
country_group_NON_EEA,0.7688310092098007,0.4310211210134567,1.783743236067073,0.07446539709979837,-0.07595486455265466,1.6136168829722561,power_fine_flag
country_group_UNKNOWN,-20.048248608818426,14556.744223955879,-0.0013772481195228558,0.9989011153364343,-28550.7426597238,28510.646162506164,power_fine_flag
isic_section_C,46.1435885744552,135844.79383726814,0.00033967874123856195,0.9997289755819446,-266204.7598197398,266297.04699688865,power_fine_flag
