feature,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.,target
breach_case,-0.0043435607412622675,0.011714582320594037,-0.37078238236683536,0.7107996243552026,-0.02730372018355623,0.018616598701031696,power_fine_flag
n_principles_discussed,-0.0679777209505634,0.012809720650024278,-5.3067293821457815,1.1160968612864304e-07,-0.09308431207663,-0.0428711298244968,power_fine_flag
n_principles_violated,0.052314385873902254,0.01379436949913983,3.792444872320145,0.00014917137235323153,0.025277918466150365,0.07935085328165414,power_fine_flag
n_corrective_measures,0.06470792859331378,0.00943213527158853,6.86036901826747,6.868289355859592e-12,0.04622128316369034,0.08319457402293723,power_fine_flag
turnover_log1p,0.10508905886936307,0.02457709481156197,4.275894269648393,1.9037156228291616e-05,0.05691883819407538,0.15325927954465074,power_fine_flag
decision_year_centered,-0.0032690768595848483,0.008205523280427632,-0.39839955940195443,0.690335682639935,-0.019351606963527963,0.012813453244358267,power_fine_flag
art33_required_flag,0.0021913910698496196,0.05963788501521912,0.036744949444306986,0.9706883683510061,-0.11469671567412083,0.11907949781382006,power_fine_flag
art33_submitted_flag,0.09442208685734295,0.08309250775590109,1.1363489850941135,0.2558105372904228,-0.06843623572933828,0.2572804094440242,power_fine_flag
art33_timely_flag,-0.01013465223312931,0.06145858814547373,-0.16490213229663495,0.8690210140484957,-0.13059127153893813,0.11032196707267951,power_fine_flag
art34_required_flag,-0.07487820435946706,0.07032802402086334,-1.0646993912022022,0.2870119856704272,-0.21271859854422703,0.0629621898252929,power_fine_flag
subjects_notified_flag,0.06372893809534713,0.07802487635369165,0.8167771750955408,0.414055778332618,-0.08919700945607939,0.21665488564677365,power_fine_flag
q15_case_initiation_BREACH_NOTIFICATION,0.08215127947107208,0.06722844352552668,1.221972057703213,0.2217181938739149,-0.04961404857564518,0.21391660751778935,power_fine_flag
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,-0.04215429568894572,0.024283236948521542,-1.7359421965988038,0.08257405570606019,-0.08974856553610026,0.005439974158208821,power_fine_flag
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,0.051348545779084084,0.07357413739721713,0.6979157023868321,0.48522991378724034,-0.092854113713063,0.19555120527123115,power_fine_flag
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,-0.02645644597168015,0.027837491617788795,-0.9503890054078679,0.34191462844694254,-0.08101692696248183,0.028104035019121527,power_fine_flag
q25_sensitive_data_ARTICLE_10_CRIMINAL,-0.2913786173928007,0.10019240109286497,-2.908190783078765,0.003635264864893584,-0.4877521150594076,-0.0950051197261938,power_fine_flag
q28_mitigations_IMMEDIATE_CONTAINMENT,-0.003913528814390512,0.045509080321387375,-0.08599446059452263,0.9314708207201652,-0.09310968721385028,0.08528262958506926,power_fine_flag
q28_mitigations_SECURITY_IMPROVEMENTS,-0.07431374795770031,0.05512711010302761,-1.3480435999422897,0.17764435982645055,-0.18236089833140856,0.033733402416007946,power_fine_flag
q28_mitigations_COOPERATION_WITH_DPA,0.021512870542957967,0.05457930386768772,0.3941580236184381,0.6934643745338056,-0.08546059933897765,0.12848634042489357,power_fine_flag
q41_aggrav_PREVIOUS_INFRINGEMENTS,0.1585566907109755,0.05988217799839638,2.6478110184172254,0.008101479960166994,0.04118977851830177,0.27592360290364926,power_fine_flag
q41_aggrav_INTENT_NEGLIGENCE,0.1615277014636011,0.029836810567508677,5.413705365663297,6.17337161205432e-08,0.10304862733774,0.2200067755894622,power_fine_flag
q42_mitig_COOPERATION_WITH_AUTHORITY,0.0892108620408988,0.02508062882414395,3.556962732729399,0.0003751673542267613,0.04005373283595949,0.1383679912458381,power_fine_flag
q46_vuln_CHILDREN,-0.021819985209681567,0.02992066163184383,-0.7292614541136714,0.46584174600973527,-0.08046340440170491,0.03682343398234178,power_fine_flag
q46_vuln_EMPLOYEES,0.06770140089873762,0.024019852639816354,2.81856020992039,0.004823956275163037,0.020623354810738223,0.11477944698673702,power_fine_flag
q46_vuln_FINANCIALLY_VULNERABLE,0.07113345428584025,0.06627449111395439,1.0733157371745219,0.28312947666104393,-0.058762161391230194,0.2010290699629107,power_fine_flag
q21_breach_types_count,0.038706099377002194,0.018479664986721107,2.094523867441058,0.03621333921017051,0.002486621556662967,0.07492557719734141,power_fine_flag
q25_sensitive_data_count,0.027257153525234126,0.020554601954972072,1.3260852039336493,0.18481147651164131,-0.013029126023067723,0.06754343307353597,power_fine_flag
q28_mitigations_count,-0.03973592934173035,0.02572971206147073,-1.544359658856556,0.12250122721557517,-0.0901652383147988,0.01069337963133811,power_fine_flag
q41_aggrav_count,0.1453321295307796,0.024022329400566936,6.049876642160677,1.4495678657857505e-09,0.09824922908091073,0.19241502998064847,power_fine_flag
q42_mitig_count,0.01099623951119273,0.01717466474373051,0.6402593398632034,0.5220040101728088,-0.022665484833068905,0.04465796385545437,power_fine_flag
q46_vuln_count,-0.010060783127862743,0.015593488072998499,-0.6451913183737177,0.5188032115243466,-0.04062345814429469,0.020501891888569206,power_fine_flag
q47_remedial_count,-0.0053205498849390725,0.012786133404488807,-0.4161187527631454,0.6773231082884638,-0.030380910859261638,0.019739811089383497,power_fine_flag
country_group_EU,0.20150079611561755,0.033880786743243546,5.947347021267165,2.725232577599144e-09,0.13509567433097808,0.26790591790025703,power_fine_flag
country_group_EU_INSTITUTION,-2.486610807079985,15142.272567741995,-0.00016421648705342164,0.9998689742009397,-29680.795487670235,29675.82226605608,power_fine_flag
country_group_NON_EEA,0.08886181737554505,0.04967351966107729,1.7889172738684462,0.07362813943187174,-0.00849649214550871,0.1862201268965988,power_fine_flag
country_group_UNKNOWN,-2.3171851619348565,1682.474735211878,-0.0013772481175730986,0.99890111533799,-3299.9070710757796,3295.2727007519097,power_fine_flag
isic_section_C,5.333295733180545,15700.99946216465,0.00033967874121850714,0.9997289755819607,-30768.06017139229,30778.726762858652,power_fine_flag
isic_section_D,2.926034449484253,15142.26625253738,0.00019323623034259746,0.9998458197961814,-29675.37046484007,29681.222533739037,power_fine_flag
isic_section_E,2.712680506919189,15142.266251961635,0.00017914626924274096,0.9998570619584104,-29675.583817654195,29681.009178668035,power_fine_flag
isic_section_F,2.7132365688814657,15142.266252376217,0.00017918299174376806,0.9998570326580942,-29675.5832624048,29681.009735542564,power_fine_flag
isic_section_G,2.6714724410425403,15142.266251732577,0.00017642487568443531,0.99985923331628,-29675.62502527113,29680.96797015321,power_fine_flag
isic_section_H,2.770120441374515,15142.26625173883,0.00018293962048490688,0.9998540353020702,-29675.52637728305,29681.0666181658,power_fine_flag
isic_section_I,2.7983054568708585,15142.266251926358,0.0001848009677227057,0.9998525501618719,-29675.498192635103,29681.094803548847,power_fine_flag
isic_section_J,2.6163931961630884,15142.26625167413,0.00017278742512362176,0.999862135581879,-29675.68010440145,29680.912890793777,power_fine_flag
isic_section_K,2.703507129909277,15142.266251682886,0.00017854045655872774,0.9998575453269899,-29675.592990484867,29681.00000474469,power_fine_flag
isic_section_L,3.0067577369851897,15142.266252252623,0.0001985672215041056,0.9998415662807215,-29675.289740994456,29681.303256468425,power_fine_flag
isic_section_M,2.7300144199224072,15142.266251824894,0.00018029100628140092,0.9998561485904157,-29675.566483473187,29681.02651231303,power_fine_flag
isic_section_N,2.791757419321837,15142.266251788182,0.0001843685332763286,0.9998528951946344,-29675.50474040183,29681.088255240476,power_fine_flag
isic_section_O,2.601771448693469,15142.266251672432,0.0001718218003468344,0.9998629060389684,-29675.694726145593,29680.898269042984,power_fine_flag
isic_section_P,2.6534989699647076,15142.26625176269,0.00017523790203172643,0.999860180384217,-29675.642998801228,29680.949996741158,power_fine_flag
isic_section_Q,2.7201564604211366,15142.266251683004,0.00017963998355390175,0.9998566680313904,-29675.57634115459,29681.016654075433,power_fine_flag
isic_section_R,2.715418156410557,15142.266251923907,0.00017932706447197416,0.9998569177046905,-29675.581079930762,29681.011916243584,power_fine_flag
