feature,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,9.157561005627066,0.8739571603534179,10.478272186618229,1.5514553366813375e-24,7.442718198563716,10.872403812690417
breach_case,-0.21240916989251968,0.09908477382351731,-2.143711507792788,0.03227839566817358,-0.406829239192079,-0.017989100592960383
n_principles_discussed,0.0047824896203552125,0.13580970486197955,0.03521463819699448,0.9719150851102385,-0.26169772940752395,0.2712627086482344
n_principles_violated,0.41046514730883704,0.1327014364252076,3.0931477334850177,0.002031214008417131,0.15008384481030468,0.6708464498073694
n_corrective_measures,-0.2688602172334182,0.09209943786518647,-2.9192384173611465,0.003581556667460798,-0.44957394751949475,-0.08814648694734159
turnover_log1p,0.5279750560492101,0.0697442068331394,7.570163602439013,7.95969714485392e-14,0.39112584095292025,0.6648242711455
decision_year_centered,-0.05343123721697464,0.07152730698382857,-0.7470047380513679,0.45522299256985044,-0.19377917811630785,0.08691670368235856
art33_required_flag,0.16680510650772662,0.4711740690647796,0.35402013281166655,0.7233927700137353,-0.7577132793634596,1.0913234923789128
art33_submitted_flag,0.4727867555843164,0.6098239038666177,0.7752840657550307,0.4383412256643856,-0.7237846355100381,1.6693581466786709
art33_timely_flag,0.1521386627856149,0.4386096347782886,0.34686575652292495,0.7287596222856197,-0.7084831290240341,1.0127604545952638
art34_required_flag,-0.19442844639584123,0.5216140557700599,-0.3727438788220653,0.7094120779414446,-1.2179181003266,0.8290612075349175
subjects_notified_flag,0.09381111723499336,0.5513833186798494,0.1701377500131865,0.8649336120981046,-0.9880905604061567,1.1757127948761434
q15_case_initiation_BREACH_NOTIFICATION,0.12694656615466893,0.4976497050135138,0.25509221622309947,0.7987003540517426,-0.8495212240222785,1.1034143563316163
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,0.8628453820670998,0.24142013990952932,3.5740406015440374,0.00036700896041143673,0.38914070959016944,1.33655005454403
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,1.2950361113538422,0.6776483697998268,1.9110738977154007,0.056259104433033245,-0.03461765817361906,2.6246898808813035
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,0.35917808503884296,0.26446530407095653,1.3581293255105964,0.17470577073341378,-0.1597448610475588,0.8781010311252447
q25_sensitive_data_ARTICLE_10_CRIMINAL,2.0679363264535957,0.9890140179005851,2.090906993253015,0.03676924129589737,0.12733368410462997,4.008538968802561
q28_mitigations_IMMEDIATE_CONTAINMENT,0.07296973595443146,0.391814909366933,0.18623522027870465,0.8522952144318853,-0.695833369630692,0.8417728415395549
q28_mitigations_SECURITY_IMPROVEMENTS,0.12843693189840277,0.4604159056323355,0.27895850322982957,0.780329977978865,-0.7749722280104052,1.0318460918072108
q28_mitigations_COOPERATION_WITH_DPA,-0.00975983076991338,0.4191388249236429,-0.023285437161998507,0.9814268814591283,-0.8321768000303253,0.8126571384904986
q41_aggrav_PREVIOUS_INFRINGEMENTS,0.1572322086120307,0.2810118677569099,0.5595215955364734,0.5759215971353151,-0.39415772442256247,0.7086221416466238
q41_aggrav_INTENT_NEGLIGENCE,0.1671719572776444,0.21959693423203455,0.7612672638726553,0.44666332901596306,-0.2637121182858373,0.5980560328411261
q42_mitig_COOPERATION_WITH_AUTHORITY,0.6214736221935546,0.2043737078384005,3.040868753455104,0.002415735397789794,0.2204599355526416,1.0224873088344677
q46_vuln_CHILDREN,-0.6140786756576959,0.3160995119512398,-1.9426751780383045,0.05231457352708153,-1.2343161414925383,0.0061587901771466
q46_vuln_EMPLOYEES,-0.0458221834461921,0.22592564414477787,-0.20281975346202086,0.8393140494841336,-0.48912419339385993,0.39747982650147573
q46_vuln_FINANCIALLY_VULNERABLE,1.4819723833331522,0.4358230031060549,3.4003996410729225,0.0006974374658928193,0.6268184056176547,2.3371263610486497
q21_breach_types_count,-0.23563622356122424,0.09033728648555496,-2.6084049314332987,0.009221887461752887,-0.4128923328615126,-0.05838011426093587
q25_sensitive_data_count,-0.19009974863475265,0.18753970673661924,-1.013650665998581,0.3109760838816743,-0.5580824504482029,0.17788295317869768
q28_mitigations_count,-0.06342437901282083,0.1990028675442222,-0.31871087987577235,0.7500072746563158,-0.4538996236520307,0.327050865626389
q41_aggrav_count,0.39163259485472524,0.12797749328167707,3.0601677280296946,0.002266624024216895,0.1405204193662441,0.6427447703432063
q42_mitig_count,-0.35031604929951865,0.10032517812563427,-3.491805904005754,0.0004991263989967062,-0.5471699889211376,-0.15346210967789972
q46_vuln_count,-0.08493775880361945,0.1117153663206104,-0.7603050645679104,0.4472378929472469,-0.30414105739079,0.1342655397835511
q47_remedial_count,0.2376806709882025,0.10173830858582696,2.3361964071546746,0.019662869151883047,0.038053944878829876,0.43730739709757516
country_group_EU,-0.046997232096137515,0.3843455737388913,-0.12227858288818363,0.902701099634633,-0.8011443144156473,0.7071498502233723
country_group_NON_EEA,1.3322994761526825,0.597476030431206,2.22987937305392,0.02596000908811222,0.1599565746271776,2.5046423776781874
isic_section_D,0.8078366429397084,0.9188892910310132,0.8791446922112875,0.3795180249848572,-0.9951701435426628,2.6108434294220793
isic_section_E,0.30261982535343224,1.307850095043523,0.23138724116800372,0.8170577249969749,-2.263589858534917,2.8688295092417815
isic_section_F,-2.550719997965333,1.5119397074257062,-1.687051398569523,0.09188170876552361,-5.517385928071066,0.4159459321404002
isic_section_G,0.3257626612245539,0.8728367033519603,0.3732229178419348,0.7090556466388573,-1.386881631178425,2.0384069536275327
isic_section_H,0.7330486252916106,0.8946927727946573,0.819329995258444,0.4127785936439342,-1.0224807479536944,2.4885779985369156
isic_section_I,-0.2867036982628477,0.9968908663505962,-0.2875978785044029,0.7737096418353832,-2.2427619687816973,1.6693545722560017
isic_section_J,0.5081806784079297,0.8170219721826947,0.6219914466318601,0.5340785297561783,-1.0949462433322992,2.1113076001481588
