feature,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],target
isic_section_H,-1375181603722726.8,68274456.89961007,-20141963.278371837,0.0,-1375181737538203.2,-1375181469907250.2,power_none_flag
isic_section_I,-2073794434388781.0,69262702.47233033,-29940997.97386968,0.0,-2073794570141183.2,-2073794298636378.8,power_none_flag
isic_section_J,-1280641491034466.5,67634545.60325116,-18934724.54959329,0.0,-1280641623595740.0,-1280641358473193.0,power_none_flag
isic_section_K,-1175576123231377.0,67739437.89197405,-17354382.613952313,0.0,-1175576255998235.5,-1175575990464518.5,power_none_flag
isic_section_L,-2859351640540904.0,69929164.58634202,-40889257.82904846,0.0,-2859351777599548.0,-2859351503482260.0,power_none_flag
isic_section_M,-3299552919836632.5,69150958.16254994,-47715216.20973822,0.0,-3299553055370020.0,-3299552784303245.0,power_none_flag
isic_section_N,-1098123552520608.8,68701535.51367767,-15983973.928821215,0.0,-1098123687173144.0,-1098123417868073.5,power_none_flag
isic_section_O,-1347723483661162.5,67640360.28293139,-19924841.884694275,0.0,-1347723616233832.5,-1347723351088492.5,power_none_flag
isic_section_P,-1425195339451643.8,68567401.66396086,-20785319.33346876,0.0,-1425195473841281.5,-1425195205062006.0,power_none_flag
isic_section_Q,-1579289426794689.0,67890406.6996849,-23262335.631317094,0.0,-1579289559857441.0,-1579289293731937.0,power_none_flag
isic_section_R,-1006621580457765.5,69183494.04721537,-14550025.180439437,0.0,-1006621716054922.1,-1006621444860608.9,power_none_flag
isic_section_S,-1557119697799293.0,68888088.90115738,-22603612.941469364,0.0,-1557119832817466.2,-1557119562781119.8,power_none_flag
isic_section_UNKNOWN,-1264422589773518.2,67529142.80044566,-18724102.473949566,0.0,-1264422722128206.0,-1264422457418830.5,power_none_flag
