feature,source,block,feature_type,observed_share,mean,variance,status_discussed,status_not_mentioned,status_not_discussed
raw_q7_Orange_Romania_SA,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_PAGE_GROUP_EUROPE_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_PLAY_ORENES_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_PNP_Sp_ka_Akcyjna,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_POSADA_LAS_ANIMAS_VIGO_SPAIN_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Pactum_Poland_Sp_z_o_o,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Parkside_Community_Primary_School,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Pro_Economica_Foundation_Pro_Economica_Alap_tv_ny,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Profi_Rom_Food_Srl,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_QUIR_N_PREVENCI_N_S_L_U,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_REAL_CLUB_N_UTICO_DE_RIBADEO,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_RED_WHITE_2022_MANAGEMENT_S_A,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_RIPOBRUNA_2007_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_ROCA_ASOCIADOS_ABOGADOS_Y_ECONOMISTAS_S_L_P,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_ROYAL_SPANISH_ACADEMY,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Radiotelevisi_n_del_Principado_de_Asturias,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Raiffeisen_Bank_S_A,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_S_C_Apollo_Salon_S_R_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_S_C_Medicover_S_R_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_S_C_Type_Top_Food_Industry_S_R_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SAGE_SPAIN_SL,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
