node,node_type,country,country_group,total_decisions,total_fines_eur,avg_fine_eur,breach_cases,year,quarter,fine_eur,breach_case,severity_measures,n_principles_violated,cross_border
Spain_237,decision,,,,,,,,,42000.0,True,True,1.0,False
Spain_240,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_238,decision,,,,,,,,,0.0,False,True,4.0,False
Spain_239,decision,,,,,,,,,12000.0,False,True,1.0,False
Spain_236,decision,,,,,,,,,180000.0,False,True,0.0,False
Spain_241,decision,,,,,,,,,4000.0,False,False,0.0,False
Spain_243,decision,,,,,,,,,900.0,False,True,1.0,False
Spain_242,decision,,,,,,,,,240000.0,False,False,0.0,False
Spain_244,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_245,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_247,decision,,,,,,,,,6000.0,False,True,1.0,False
Spain_246,decision,,,,,,,,,0.0,False,True,2.0,False
Spain_250,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_248,decision,,,,,,,,,48000.0,False,False,0.0,False
Spain_249,decision,,,,,,,,,70000.0,False,False,0.0,False
Spain_252,decision,,,,,,,,,0.0,False,True,0.0,False
Spain_251,decision,,,,,,,,,75000.0,False,False,0.0,False
Spain_253,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_254,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_255,decision,,,,,,,,,75000.0,False,True,1.0,False
Spain_259,decision,,,,,,,,,4000.0,False,True,1.0,False
Spain_258,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_260,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_256,decision,,,,,,,,,24000.0,False,True,2.0,False
Spain_261,decision,,,,,,,,,24000.0,False,False,0.0,False
Spain_262,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_263,decision,,,,,,,,,1000.0,False,False,0.0,False
Spain_264,decision,,,,,,,,,100000.0,False,True,2.0,False
Spain_265,decision,,,,,,,2020.0,Q3,1200.0,False,True,1.0,False
Spain_266,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_267,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_269,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_270,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_268,decision,,,,,,,,,1500000.0,False,True,2.0,False
Spain_272,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_271,decision,,,,,,,,,500.0,False,False,0.0,False
Spain_273,decision,,,,,,,,,0.0,True,True,2.0,False
Spain_274,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_275,decision,,,,,,,2021.0,Q4,16000.0,False,True,1.0,False
Spain_276,decision,,,,,,,,,1500.0,False,True,1.0,False
Spain_278,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_280,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_281,decision,,,,,,,,,6000.0,False,False,0.0,False
Spain_279,decision,,,,,,,,,3000.0,True,True,1.0,False
Spain_282,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_277,decision,,,,,,,,,0.0,False,False,4.0,False
Spain_288,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_289,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_283,decision,,,,,,,,,8150000.0,False,True,3.0,False
Spain_287,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_285,decision,,,,,,,,,1000.0,False,False,0.0,False
Spain_296,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_290,decision,,,,,,,,,18000.0,False,True,1.0,False
Spain_297,decision,,,,,,,,,0.0,False,True,2.0,False
Spain_291,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_292,decision,,,,,,,,,60000.0,False,True,1.0,False
Spain_294,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_293,decision,,,,,,,2021.0,Q1,5000000.0,False,True,2.0,False
Spain_295,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_298,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_300,decision,,,,,,,,,60000.0,False,True,1.0,False
Spain_299,decision,,,,,,,,,30000.0,False,True,1.0,False
Spain_303,decision,,,,,,,,,90000.0,False,True,1.0,False
Spain_301,decision,,,,,,,,,132000.0,False,False,0.0,False
Spain_302,decision,,,,,,,2020.0,Q1,0.0,False,True,1.0,False
Spain_304,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_305,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_309,decision,,,,,,,,,0.0,True,True,3.0,False
Spain_306,decision,,,,,,,,,3000.0,False,True,0.0,False
Spain_312,decision,,,,,,,,,1800.0,False,True,0.0,False
Spain_307,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_308,decision,,,,,,,,,44000.0,False,False,0.0,False
Spain_311,decision,,,,,,,,,35000.0,False,False,0.0,False
Spain_313,decision,,,,,,,,,0.0,False,True,0.0,False
Spain_314,decision,,,,,,,,,24000.0,True,True,1.0,False
Spain_315,decision,,,,,,,,,4000.0,False,True,1.0,False
Spain_320,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_318,decision,,,,,,,2021.0,Q3,40000.0,True,True,1.0,False
Spain_317,decision,,,,,,,,,0.0,False,True,2.0,False
Spain_316,decision,,,,,,,,,33000.0,False,False,0.0,False
Spain_319,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_321,decision,,,,,,,,,55000.0,False,True,1.0,False
Spain_323,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_325,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_322,decision,,,,,,,,,3000.0,False,True,0.0,False
Spain_327,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_324,decision,,,,,,,,,9000.0,False,True,2.0,False
Spain_326,decision,,,,,,,,,2520000.0,False,True,5.0,False
Spain_328,decision,,,,,,,,,6000.0,False,True,1.0,False
Spain_329,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_332,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_330,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_331,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_334,decision,,,,,,,,,50000.0,False,False,0.0,False
Spain_335,decision,,,,,,,,,1800.0,False,True,2.0,False
Spain_333,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_336,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_340,decision,,,,,,,,,9000.0,False,True,1.0,False
Spain_337,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_341,decision,,,,,,,,,20000.0,False,False,0.0,False
Spain_338,decision,,,,,,,,,45000.0,False,False,0.0,False
Spain_342,decision,,,,,,,,,25000.0,False,True,2.0,False
Spain_343,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_344,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_345,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_346,decision,,,,,,,,,600.0,False,False,0.0,False
Spain_347,decision,,,,,,,,,3000.0,False,False,0.0,False
Spain_349,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_350,decision,,,,,,,,,3000.0,False,True,0.0,False
Spain_348,decision,,,,,,,,,4200.0,False,False,1.0,False
Spain_351,decision,,,,,,,,,15000.0,False,True,3.0,False
Spain_352,decision,,,,,,,,,45000.0,False,True,1.0,False
Spain_353,decision,,,,,,,2020.0,Q4,0.0,False,True,1.0,False
Spain_354,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_355,decision,,,,,,,,,3000.0,False,False,0.0,False
Spain_357,decision,,,,,,,,,2000.0,False,False,0.0,False
Spain_356,decision,,,,,,,,,1200.0,False,True,1.0,False
Spain_358,decision,,,,,,,,,20000.0,False,False,0.0,False
Spain_360,decision,,,,,,,,,1600.0,False,True,0.0,False
Spain_359,decision,,,,,,,,,600000.0,True,True,1.0,False
Spain_362,decision,,,,,,,,,75000.0,False,True,1.0,False
Spain_361,decision,,,,,,,,,45000.0,False,True,1.0,False
Spain_364,decision,,,,,,,,,3000.0,False,True,2.0,False
Spain_363,decision,,,,,,,,,25000.0,False,False,0.0,False
Spain_367,decision,,,,,,,,,12000.0,False,True,1.0,False
Spain_366,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_368,decision,,,,,,,,,1800.0,False,False,0.0,False
Spain_370,decision,,,,,,,,,2000.0,False,True,0.0,False
Spain_369,decision,,,,,,,,,96000.0,False,False,1.0,False
Spain_371,decision,,,,,,,,,56000.0,False,True,1.0,False
Spain_372,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_373,decision,,,,,,,,,1600.0,False,True,1.0,False
Spain_375,decision,,,,,,,,,30000.0,False,True,1.0,False
Spain_374,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_376,decision,,,,,,,,,40000.0,False,True,1.0,False
Spain_378,decision,,,,,,,,,200000.0,False,True,2.0,False
Spain_377,decision,,,,,,,,,1600.0,False,True,1.0,False
Spain_379,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_381,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_380,decision,,,,,,,,,45000.0,False,True,1.0,False
Spain_382,decision,,,,,,,,,3000.0,False,True,2.0,False
Spain_383,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_384,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_387,decision,,,,,,,,,20000.0,False,True,2.0,False
Spain_389,decision,,,,,,,,,48000.0,True,True,1.0,False
Spain_388,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_385,decision,,,,,,,,,6000.0,False,False,0.0,False
Spain_386,decision,,,,,,,,,50000.0,False,False,0.0,False
Spain_391,decision,,,,,,,,,1200.0,False,True,1.0,False
Spain_390,decision,,,,,,,,,40000.0,False,True,1.0,False
Spain_392,decision,,,,,,,,,36000.0,False,True,1.0,False
Spain_393,decision,,,,,,,,,100000.0,False,True,1.0,False
Spain_394,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_396,decision,,,,,,,,,1500.0,False,True,1.0,False
Spain_397,decision,,,,,,,,,2100000.0,False,True,1.0,False
Spain_395,decision,,,,,,,,,80000.0,False,False,0.0,False
Spain_398,decision,,,,,,,,,60000.0,False,True,1.0,False
Spain_406,decision,,,,,,,2021.0,Q4,0.0,False,True,0.0,False
Spain_401,decision,,,,,,,,,7800.0,False,True,5.0,False
Spain_400,decision,,,,,,,,,50000.0,False,False,0.0,False
Spain_402,decision,,,,,,,,,120000.0,False,True,1.0,False
Spain_399,decision,,,,,,,,,12000.0,False,True,4.0,False
Spain_405,decision,,,,,,,,,15000.0,False,True,2.0,False
Spain_403,decision,,,,,,,,,75000.0,False,False,0.0,False
Spain_404,decision,,,,,,,2021.0,Q4,1500000.0,False,True,3.0,False
Spain_408,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_410,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_409,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_411,decision,,,,,,,,,4000.0,False,True,2.0,False
Spain_417,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_412,decision,,,,,,,,,1800.0,False,True,1.0,False
Spain_415,decision,,,,,,,,,50000.0,False,True,1.0,False
Spain_414,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_418,decision,,,,,,,2020.0,Q4,0.0,False,True,0.0,False
Spain_416,decision,,,,,,,,,5000.0,False,False,0.0,False
Spain_419,decision,,,,,,,,,12000.0,False,False,0.0,False
Spain_421,decision,,,,,,,,,20000.0,False,False,0.0,False
Spain_420,decision,,,,,,,2021.0,Q4,50000.0,False,True,1.0,False
Spain_422,decision,,,,,,,,,15000.0,False,True,1.0,False
Spain_423,decision,,,,,,,,,40000.0,False,False,0.0,False
Spain_424,decision,,,,,,,,,900.0,False,True,1.0,False
Spain_426,decision,,,,,,,,,170000.0,False,True,2.0,False
Spain_425,decision,,,,,,,,,2000000.0,False,True,1.0,False
Spain_427,decision,,,,,,,,,900.0,False,False,0.0,False
Spain_428,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_429,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_430,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_431,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_432,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_435,decision,,,,,,,,,1500.0,False,False,0.0,False
Spain_433,decision,,,,,,,,,1000.0,False,True,0.0,False
Spain_436,decision,,,,,,,,,50000.0,False,True,1.0,False
Spain_434,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_438,decision,,,,,,,,,75000.0,False,True,1.0,False
Spain_440,decision,,,,,,,,,9000.0,False,True,2.0,False
Spain_437,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_441,decision,,,,,,,,,70000.0,False,True,1.0,False
Spain_439,decision,,,,,,,,,1200.0,False,True,1.0,False
Spain_443,decision,,,,,,,,,0.0,False,True,2.0,False
Spain_442,decision,,,,,,,,,50000.0,False,True,2.0,False
Spain_446,decision,,,,,,,,,0.0,False,True,0.0,False
Spain_444,decision,,,,,,,,,3000.0,True,True,1.0,False
Spain_445,decision,,,,,,,2019.0,Q4,6000.0,False,True,1.0,False
Spain_449,decision,,,,,,,,,30000.0,False,True,0.0,False
Spain_451,decision,,,,,,,,,36000.0,False,False,0.0,False
Spain_452,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_450,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_453,decision,,,,,,,,,36000.0,False,True,1.0,False
Spain_455,decision,,,,,,,,,30000.0,False,True,1.0,False
Spain_454,decision,,,,,,,,,30000.0,False,True,0.0,False
Spain_457,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_456,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_459,decision,,,,,,,,,2400.0,False,True,1.0,False
Spain_458,decision,,,,,,,,,100000.0,False,False,0.0,False
Spain_461,decision,,,,,,,2020.0,Q4,6000.0,True,True,1.0,False
Spain_466,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_467,decision,,,,,,,,,0.0,False,True,0.0,False
Spain_463,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_462,decision,,,,,,,,,300000.0,False,True,3.0,False
Spain_460,decision,,,,,,,,,6000.0,False,False,0.0,False
Spain_464,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_465,decision,,,,,,,,,50000.0,False,False,0.0,False
Spain_469,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_471,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_470,decision,,,,,,,,,4800.0,False,True,1.0,False
Spain_468,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_479,decision,,,,,,,,,30000.0,False,True,1.0,False
Spain_472,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_473,decision,,,,,,,,,4000.0,False,True,1.0,False
Spain_476,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_474,decision,,,,,,,2021.0,Q1,3000.0,True,True,1.0,False
Spain_478,decision,,,,,,,,,0.0,False,True,0.0,False
Spain_480,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_482,decision,,,,,,,,,30000.0,False,True,0.0,False
Spain_481,decision,,,,,,,,,42000.0,False,True,1.0,False
Spain_484,decision,,,,,,,,,1500.0,False,True,0.0,False
Spain_485,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_487,decision,,,,,,,,,20000.0,False,False,0.0,False
Spain_483,decision,,,,,,,,,42000.0,False,False,0.0,False
Spain_486,decision,,,,,,,2021.0,Q3,120000.0,False,True,1.0,False
Spain_490,decision,,,,,,,,,6000.0,False,True,0.0,False
Spain_488,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_492,decision,,,,,,,,,6000.0,False,True,1.0,False
Spain_491,decision,,,,,,,,,200000.0,False,True,2.0,False
Spain_493,decision,,,,,,,2022.0,Q2,0.0,False,True,2.0,False
Spain_494,decision,,,,,,,,,20000.0,False,True,1.0,False
Spain_496,decision,,,,,,,,,0.0,False,True,3.0,False
Spain_495,decision,,,,,,,,,70000.0,False,False,1.0,False
Spain_497,decision,,,,,,,,,3600.0,False,True,1.0,False
Spain_498,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_499,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_501,decision,,,,,,,,,3000.0,False,True,0.0,False
Spain_500,decision,,,,,,,,,8000.0,False,True,1.0,False
Spain_503,decision,,,,,,,,,25000.0,False,True,1.0,False
Spain_506,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_502,decision,,,,,,,,,3000.0,False,True,3.0,False
Spain_504,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_505,decision,,,,,,,,,1500.0,False,False,0.0,False
Spain_509,decision,,,,,,,,,20000.0,False,True,1.0,False
Spain_507,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_508,decision,,,,,,,,,6000.0,False,True,1.0,False
Spain_510,decision,,,,,,,,,60000.0,False,False,0.0,False
Spain_511,decision,,,,,,,,,3000.0,False,False,0.0,False
Spain_514,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_513,decision,,,,,,,,,50000.0,False,False,0.0,False
Spain_515,decision,,,,,,,2020.0,Q4,0.0,False,True,1.0,False
Spain_516,decision,,,,,,,,,3000.0,False,True,0.0,False
Spain_522,decision,,,,,,,,,25000.0,False,True,0.0,False
Spain_517,decision,,,,,,,,,1500.0,False,False,0.0,False
Spain_518,decision,,,,,,,,,100000.0,False,True,1.0,False
Spain_519,decision,,,,,,,,,75000.0,False,False,0.0,False
Spain_524,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_525,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_521,decision,,,,,,,,,40000.0,False,True,1.0,False
Spain_520,decision,,,,,,,,,54000.0,False,True,2.0,False
Spain_523,decision,,,,,,,,,48000.0,False,False,0.0,False
Spain_526,decision,,,,,,,,,1500.0,False,True,1.0,False
Spain_527,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_536,decision,,,,,,,,,5000.0,False,True,0.0,False
Spain_532,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_529,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_533,decision,,,,,,,,,120000.0,False,True,1.0,False
Spain_530,decision,,,,,,,2021.0,Q4,60000.0,False,True,1.0,False
Spain_534,decision,,,,,,,,,24000.0,False,True,0.0,False
Spain_535,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_537,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_539,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_541,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_542,decision,,,,,,,,,90000.0,False,True,2.0,False
Spain_544,decision,,,,,,,,,5000.0,False,True,1.0,False
Spain_543,decision,,,,,,,,,3000.0,False,False,0.0,False
Spain_540,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_545,decision,,,,,,,,,70000.0,False,True,0.0,False
Spain_546,decision,,,,,,,,,75000.0,False,False,0.0,False
Spain_547,decision,,,,,,,,,80000.0,False,True,1.0,False
Spain_549,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_551,decision,,,,,,,,,3000.0,False,False,0.0,False
Spain_550,decision,,,,,,,,,3000.0,False,True,0.0,False
Spain_552,decision,,,,,,,,,60000.0,False,True,2.0,False
Spain_558,decision,,,,,,,,,0.0,False,True,4.0,False
Spain_553,decision,,,,,,,,,1500.0,False,True,0.0,False
Spain_554,decision,,,,,,,,,50000.0,False,False,0.0,False
Spain_555,decision,,,,,,,,,4000.0,False,False,0.0,False
Spain_556,decision,,,,,,,,,16000.0,False,True,1.0,False
Spain_559,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_557,decision,,,,,,,,,150000.0,False,True,1.0,False
Spain_562,decision,,,,,,,,,8000.0,False,False,0.0,False
Spain_561,decision,,,,,,,,,3000.0,False,False,0.0,False
Spain_563,decision,,,,,,,2021.0,Q1,60000.0,False,True,1.0,False
Spain_560,decision,,,,,,,,,0.0,False,False,2.0,False
Spain_564,decision,,,,,,,,,8000.0,False,True,3.0,False
Spain_565,decision,,,,,,,,,6000.0,False,False,0.0,False
Spain_568,decision,,,,,,,2021.0,Q4,56000.0,False,True,1.0,False
Spain_566,decision,,,,,,,,,75000.0,False,True,1.0,False
Spain_567,decision,,,,,,,,,3000000.0,False,True,0.0,False
Spain_575,decision,,,,,,,,,55000.0,True,True,1.0,False
Spain_572,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_570,decision,,,,,,,,,2000.0,False,True,1.0,False
Spain_569,decision,,,,,,,,,12000.0,False,False,0.0,False
Spain_571,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_573,decision,,,,,,,2022.0,Q3,0.0,True,True,2.0,False
Spain_574,decision,,,,,,,,,1800.0,False,False,1.0,False
Spain_578,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_576,decision,,,,,,,,,480.0,False,False,0.0,False
Spain_581,decision,,,,,,,,,10000.0,False,True,1.0,False
Spain_577,decision,,,,,,,,,80000.0,False,False,0.0,False
Spain_582,decision,,,,,,,2024.0,Q1,1200.0,False,True,1.0,False
Spain_580,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_579,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_583,decision,,,,,,,,,70000.0,False,True,1.0,False
Spain_584,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_590,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_585,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_587,decision,,,,,,,,,0.0,False,True,0.0,False
Spain_588,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_589,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_591,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_592,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_593,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_595,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_596,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_597,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_594,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_598,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_599,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_600,decision,,,,,,,,,0.0,False,False,2.0,False
Spain_605,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_603,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_601,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_602,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_604,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_606,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_607,decision,,,,,,,,,0.0,False,True,2.0,False
Spain_611,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_612,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_610,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_615,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_614,decision,,,,,,,,,0.0,False,False,1.0,False
Spain_613,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_616,decision,,,,,,,,,600.0,False,True,1.0,False
Spain_617,decision,,,,,,,2022.0,Q4,0.0,False,False,0.0,False
Spain_619,decision,,,,,,,2021.0,Q4,0.0,False,False,0.0,False
Spain_621,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_620,decision,,,,,,,,,0.0,False,True,2.0,False
Spain_624,decision,,,,,,,,,0.0,False,True,3.0,False
Spain_630,decision,,,,,,,2022.0,Q1,0.0,False,False,0.0,False
Spain_625,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_618,decision,,,,,,,,,0.0,False,True,3.0,False
Spain_631,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_1,decision,,,,,,,,,0.0,False,False,2.0,False
Slovenia_3,decision,,,,,,,2021.0,Q1,0.0,True,False,2.0,False
Spain_627,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_626,decision,,,,,,,,,3000.0,False,True,1.0,False
Spain_628,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_629,decision,,,,,,,,,0.0,False,True,1.0,False
Slovenia_4,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_5,decision,,,,,,,,,0.0,False,True,0.0,False
Slovenia_8,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_6,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_9,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_7,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_10,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_12,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_11,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_14,decision,,,,,,,2021.0,Q2,0.0,False,False,0.0,False
Slovenia_18,decision,,,,,,,2020.0,Q1,0.0,False,False,0.0,False
Slovenia_13,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_16,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_15,decision,,,,,,,2021.0,Q2,0.0,False,False,0.0,False
Slovenia_17,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_19,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_21,decision,,,,,,,2020.0,Q1,0.0,False,False,0.0,False
Slovenia_20,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_24,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_23,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_25,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_22,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_26,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_34,decision,,,,,,,2020.0,Q3,0.0,False,False,3.0,False
Slovenia_27,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_28,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_29,decision,,,,,,,2020.0,Q2,0.0,False,False,0.0,False
Slovenia_30,decision,,,,,,,2020.0,Q2,0.0,False,False,0.0,False
Slovenia_31,decision,,,,,,,2020.0,Q2,0.0,False,False,0.0,False
Slovenia_32,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_33,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_35,decision,,,,,,,,,0.0,False,True,0.0,False
Slovenia_36,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_37,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_38,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_41,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_39,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_42,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_43,decision,,,,,,,,,0.0,False,True,2.0,False
Slovenia_44,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_45,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_46,decision,,,,,,,2021.0,Q2,0.0,False,False,0.0,False
Slovenia_47,decision,,,,,,,2021.0,Q2,0.0,False,False,0.0,False
Slovenia_50,decision,,,,,,,2021.0,Q1,0.0,False,True,2.0,False
Slovenia_48,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_51,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_55,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_56,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_53,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_54,decision,,,,,,,,,0.0,False,True,3.0,False
Slovenia_57,decision,,,,,,,,,0.0,False,False,0.0,False
Slovenia_58,decision,,,,,,,,,500.0,False,False,1.0,False
Slovenia_61,decision,,,,,,,,,6255.0,False,False,0.0,False
Slovenia_62,decision,,,,,,,,,0.0,False,False,0.0,False
