node,node_type,country,country_group,total_decisions,total_fines_eur,avg_fine_eur,breach_cases,year,quarter,fine_eur,breach_case,severity_measures,n_principles_violated,cross_border
United Kingdom_17,decision,,,,,,,2020.0,Q4,1250000.0,True,True,1.0,False
United Kingdom_21,decision,,,,,,,2025.0,Q2,18000.0,True,True,2.0,False
United Kingdom_19,decision,,,,,,,2021.0,Q2,90000.0,False,True,1.0,False
United Kingdom_26,decision,,,,,,,2021.0,Q2,0.0,False,False,0.0,False
United Kingdom_25,decision,,,,,,,,,0.0,True,True,1.0,False
United Kingdom_23,decision,,,,,,,2021.0,Q4,500000.0,True,True,1.0,False
United Kingdom_24,decision,,,,,,,,,0.0,True,True,3.0,False
United Kingdom_29,decision,,,,,,,2024.0,Q2,130000.0,False,True,2.0,False
United Kingdom_27,decision,,,,,,,,,0.0,False,False,0.0,False
United Kingdom_28,decision,,,,,,,2025.0,Q2,60000.0,True,True,2.0,False
United Kingdom_22,decision,,,,,,,,,200000.0,False,False,0.0,False
United Kingdom_30,decision,,,,,,,,,0.0,False,True,0.0,False
United Kingdom_32,decision,,,,,,,,,0.0,True,False,1.0,False
United Kingdom_31,decision,,,,,,,,,0.0,False,False,2.0,False
United Kingdom_36,decision,,,,,,,,,0.0,False,False,0.0,False
United Kingdom_34,decision,,,,,,,2021.0,Q4,10000.0,True,True,1.0,False
United Kingdom_37,decision,,,,,,,,,0.0,True,True,1.0,False
United Kingdom_35,decision,,,,,,,,,0.0,False,True,0.0,False
United Kingdom_39,decision,,,,,,,,,0.0,True,True,1.0,False
United Kingdom_45,decision,,,,,,,,,0.0,False,True,0.0,False
United Kingdom_40,decision,,,,,,,,,145000.0,False,False,0.0,False
United Kingdom_43,decision,,,,,,,,,0.0,False,False,0.0,False
United Kingdom_44,decision,,,,,,,2022.0,Q4,1350000.0,False,True,1.0,False
United Kingdom_41,decision,,,,,,,2021.0,Q3,25000.0,True,True,1.0,False
United Kingdom_46,decision,,,,,,,,,0.0,False,False,0.0,False
United Kingdom_48,decision,,,,,,,,,0.0,True,True,1.0,False
United Kingdom_53,decision,,,,,,,,,0.0,False,False,0.0,False
United Kingdom_52,decision,,,,,,,,,75000.0,False,False,0.0,False
United Kingdom_51,decision,,,,,,,,,0.0,False,False,0.0,False
United Kingdom_47,decision,,,,,,,,,0.0,False,True,0.0,False
United Kingdom_49,decision,,,,,,,,,0.0,False,True,0.0,False
United Kingdom_50,decision,,,,,,,,,0.0,False,True,1.0,False
United Kingdom_54,decision,,,,,,,,,0.0,False,False,0.0,False
United Kingdom_55,decision,,,,,,,,,0.0,True,True,1.0,False
