pair_id,left_var,right_var,pair_type,level,level_order,n_available,group_n,group_pct,median,mean,median_log,mean_log,p25,p75,ratio_to_overall_median,zero_pct,missing_both,missing_left_only,missing_right_only
fine_x_role,defendant_role,fine_amount_eur_w,cat_num,UNCLEAR,5,783,2,0.002554278416347382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,70,10
fine_x_jurisdiction,jurisdiction_complexity,fine_amount_eur_w,cat_num,__overall__,0,850,850,1.0,2000.0,613201.7988235301,7.601402334583733,6.0094749332420605,0.0,44750.0,1.0,0.41411764705882353,6,3,16
fine_x_jurisdiction,jurisdiction_complexity,fine_amount_eur_w,cat_num,CONCERNED_AUTHORITY_CASE,1,850,6,0.007058823529411765,100000.0,7773333.333333343,6.103038822758837,7.651966835658608,0.0,9800000.0,50.0,0.5,6,3,16
fine_x_jurisdiction,jurisdiction_complexity,fine_amount_eur_w,cat_num,SINGLE_JURISDICTION_DOMESTIC,2,850,725,0.8529411764705882,3000.0,328039.07448275876,8.006700845440367,6.425985798015753,0.0,45000.0,1.5,0.36,6,3,16
fine_x_jurisdiction,jurisdiction_complexity,fine_amount_eur_w,cat_num,LEAD_SUPERVISORY_AUTHORITY_CASE,3,850,58,0.06823529411764706,0.0,2913468.9655172457,0.0,5.642153028745044,0.0,225000.0,0.0,0.5689655172413793,6,3,16
fine_x_jurisdiction,jurisdiction_complexity,fine_amount_eur_w,cat_num,NON_EU_ENTITY_INVOLVED,4,850,11,0.012941176470588235,0.0,6161000.000000011,0.0,6.286232566713747,0.0,437500.0,0.0,0.5454545454545454,6,3,16
fine_x_jurisdiction,jurisdiction_complexity,fine_amount_eur_w,cat_num,UNCLEAR,5,850,50,0.058823529411764705,0.0,20.0,0.0,0.13817509558630442,0.0,0.0,0.0,0.98,6,3,16
fine_x_crossborder,cross_border,fine_amount_eur_w,cat_num,__overall__,0,802,802,1.0,3000.0,649924.5997506242,8.006700845440367,6.3527796831404215,0.0,50000.0,1.0,0.38154613466334164,14,51,8
fine_x_crossborder,cross_border,fine_amount_eur_w,cat_num,NON_EU_ENTITY_INVOLVED,1,802,1,0.0012468827930174563,800000.0,800000.0,13.592368256649282,13.592368256649282,800000.0,800000.0,266.6666666666667,0.0,14,51,8
fine_x_crossborder,cross_border,fine_amount_eur_w,cat_num,NO_SINGLE_JURISDICTION,2,802,726,0.9052369077306733,3000.0,233391.63774104684,8.006700845440367,6.356629870695572,0.0,45000.0,1.0,0.3650137741046832,14,51,8
fine_x_crossborder,cross_border,fine_amount_eur_w,cat_num,YES_LEAD_AUTHORITY_CASE,3,802,44,0.05486284289276808,0.0,3608890.9090909143,0.0,6.231081893023362,0.0,250000.0,0.0,0.5227272727272727,14,51,8
fine_x_crossborder,cross_border,fine_amount_eur_w,cat_num,YES_MULTIPLE_DPAS_INVOLVED,4,802,31,0.03865336658354115,0.0,6200193.5483871065,0.0,6.201808006579202,0.0,2050000.0,0.0,0.5806451612903226,14,51,8
fine_x_cooperation,cooperation_level,fine_amount_eur_w,cat_num,__overall__,0,694,694,1.0,5000.0,731807.1023054763,8.517393171418904,6.94070888223649,0.0,55750.0,1.0,0.3242074927953891,20,159,2
fine_x_cooperation,cooperation_level,fine_amount_eur_w,cat_num,PARTIAL_COOPERATION,1,694,172,0.2478386167146974,15000.0,1381755.2325581417,9.61587214452889,8.006402018738035,0.0,76250.0,3.0,0.2558139534883721,20,159,2
fine_x_cooperation,cooperation_level,fine_amount_eur_w,cat_num,FULL_COOPERATION,2,694,400,0.5763688760806917,3300.0,672028.0725000005,8.097833854544621,6.496472687420699,0.0,60000.0,0.66,0.39,20,159,2
fine_x_cooperation,cooperation_level,fine_amount_eur_w,cat_num,NON_COOPERATIVE,3,694,121,0.17435158501440923,3000.0,11578.512396694216,8.006700845440367,6.9517499345529075,1400.0,10000.0,0.6,0.19834710743801653,20,159,2
fine_x_cooperation,cooperation_level,fine_amount_eur_w,cat_num,UNCLEAR,4,694,1,0.001440922190201729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,159,2
fine_x_firsttime,first_time_violation,fine_amount_eur_w,cat_num,__overall__,0,536,536,1.0,5000.0,841619.1958955233,8.517393171418904,7.200259007330571,0.0,70000.0,1.0,0.3041044776119403,20,317,2
fine_x_firsttime,first_time_violation,fine_amount_eur_w,cat_num,NO_REPEAT_OFFENDER,1,536,52,0.09701492537313433,50000.0,1856669.230769233,10.819798284210286,10.353720831845143,5750.0,205000.0,10.0,0.09615384615384616,20,317,2
fine_x_firsttime,first_time_violation,fine_amount_eur_w,cat_num,UNCLEAR,2,536,266,0.4962686567164179,4000.0,730193.5338345873,8.294299608857235,6.9325679492468115,0.0,60000.0,0.8,0.32706766917293234,20,317,2
fine_x_firsttime,first_time_violation,fine_amount_eur_w,cat_num,YES_FIRST_TIME,3,536,218,0.40671641791044777,3000.0,735456.9220183492,8.006700845440367,6.774689312722873,0.0,50000.0,0.6,0.3256880733944954,20,317,2
fine_x_breachtype,breach_type,fine_amount_eur_w,cat_num,__overall__,0,163,163,1.0,15000.0,724117.3006134976,9.61587214452889,7.708402716003086,0.0,70000.0,1.0,0.2822085889570552,18,690,4
fine_x_breachtype,breach_type,fine_amount_eur_w,cat_num,"CYBER_ATTACK,TECHNICAL_FAILURE",1,163,5,0.03067484662576687,600000.0,1428400.0,13.30468660086356,10.786506459901798,42000.0,3000000.0,40.0,0.2,18,690,4
